pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_P53_PATHWAY	0.00679114568382156	0.0333375932914826	0.407017918923954	-0.365725316064945	-1.3987530215487	171	ENSRNOG00000050473;ENSRNOG00000011951;ENSRNOG00000037690;ENSRNOG00000018421;ENSRNOG00000020876;ENSRNOG00000013771;ENSRNOG00000003809;ENSRNOG00000016587;ENSRNOG00000058497;ENSRNOG00000009222;ENSRNOG00000000047;ENSRNOG00000019357;ENSRNOG00000020938;ENSRNOG00000043201;ENSRNOG00000008015;ENSRNOG00000020451;ENSRNOG00000003745;ENSRNOG00000030391;ENSRNOG00000010178;ENSRNOG00000007133;ENSRNOG00000001312;ENSRNOG00000022812;ENSRNOG00000014948;ENSRNOG00000016029;ENSRNOG00000009244;ENSRNOG00000026293;ENSRNOG00000059406;ENSRNOG00000009325;ENSRNOG00000019387;ENSRNOG00000003515;ENSRNOG00000006557;ENSRNOG00000058646;ENSRNOG00000014090;ENSRNOG00000015812;ENSRNOG00000031612
HALLMARK_ADIPOGENESIS	0.00939026046736792	0.0383461693606039	0.380730400722792	0.413466875987495	1.43464081802593	180	ENSRNOG00000015658;ENSRNOG00000019342;ENSRNOG00000002215;ENSRNOG00000024128;ENSRNOG00000020546;ENSRNOG00000055078;ENSRNOG00000004245;ENSRNOG00000012457;ENSRNOG00000001442;ENSRNOG00000010838;ENSRNOG00000016924;ENSRNOG00000052564;ENSRNOG00000054689;ENSRNOG00000017513;ENSRNOG00000001991;ENSRNOG00000022485;ENSRNOG00000046834;ENSRNOG00000058658;ENSRNOG00000001807;ENSRNOG00000033262;ENSRNOG00000006623;ENSRNOG00000021202;ENSRNOG00000001232;ENSRNOG00000028711;ENSRNOG00000011696;ENSRNOG00000037850;ENSRNOG00000010277;ENSRNOG00000021524;ENSRNOG00000023520;ENSRNOG00000020776;ENSRNOG00000013223;ENSRNOG00000021139;ENSRNOG00000000981;ENSRNOG00000002433;ENSRNOG00000019147;ENSRNOG00000058006;ENSRNOG00000005854;ENSRNOG00000018044;ENSRNOG00000009155;ENSRNOG00000001205;ENSRNOG00000052802;ENSRNOG00000013604;ENSRNOG00000015029;ENSRNOG00000003163;ENSRNOG00000009063;ENSRNOG00000018145;ENSRNOG00000010805
HALLMARK_ANDROGEN_RESPONSE	0.0107369274209691	0.0383461693606039	0.380730400722792	0.47749141081349	1.50369124702865	91	ENSRNOG00000016122;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000027089;ENSRNOG00000006787;ENSRNOG00000016552;ENSRNOG00000026455;ENSRNOG00000006305;ENSRNOG00000006859;ENSRNOG00000048495;ENSRNOG00000024470;ENSRNOG00000002926;ENSRNOG00000009980;ENSRNOG00000022523;ENSRNOG00000011696;ENSRNOG00000027839;ENSRNOG00000007304;ENSRNOG00000001607;ENSRNOG00000014872;ENSRNOG00000017467
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0105554505466926	0.0383461693606039	0.380730400722792	0.400116135230334	1.38987484477462	186	ENSRNOG00000057367;ENSRNOG00000024128;ENSRNOG00000008103;ENSRNOG00000016807;ENSRNOG00000004245;ENSRNOG00000012457;ENSRNOG00000001442;ENSRNOG00000026842;ENSRNOG00000014254;ENSRNOG00000002790;ENSRNOG00000054689;ENSRNOG00000001991;ENSRNOG00000018816;ENSRNOG00000013000;ENSRNOG00000003269;ENSRNOG00000012999;ENSRNOG00000014625;ENSRNOG00000028884;ENSRNOG00000005877;ENSRNOG00000020288;ENSRNOG00000022980;ENSRNOG00000015320;ENSRNOG00000010277;ENSRNOG00000037638;ENSRNOG00000005130;ENSRNOG00000022922;ENSRNOG00000023520;ENSRNOG00000017965;ENSRNOG00000013505;ENSRNOG00000007883;ENSRNOG00000024967;ENSRNOG00000025383;ENSRNOG00000017826;ENSRNOG00000000064;ENSRNOG00000018117;ENSRNOG00000018044;ENSRNOG00000017481;ENSRNOG00000009155;ENSRNOG00000024629;ENSRNOG00000024568;ENSRNOG00000013604;ENSRNOG00000001559;ENSRNOG00000008279;ENSRNOG00000003163;ENSRNOG00000060005;ENSRNOG00000016180;ENSRNOG00000007040;ENSRNOG00000012136;ENSRNOG00000019525;ENSRNOG00000011383;ENSRNOG00000056216;ENSRNOG00000012550;ENSRNOG00000001440;ENSRNOG00000014078;ENSRNOG00000049912;ENSRNOG00000008566;ENSRNOG00000060293;ENSRNOG00000019223;ENSRNOG00000025910;ENSRNOG00000061684;ENSRNOG00000006375;ENSRNOG00000003626
HALLMARK_TGF_BETA_SIGNALING	0.013008282992178	0.04336094330726	0.380730400722792	-0.495650896174825	-1.56535588080545	50	ENSRNOG00000007237;ENSRNOG00000018359;ENSRNOG00000026124;ENSRNOG00000020938;ENSRNOG00000005724;ENSRNOG00000045829;ENSRNOG00000007034;ENSRNOG00000008620;ENSRNOG00000018708;ENSRNOG00000021750;ENSRNOG00000014623;ENSRNOG00000009899;ENSRNOG00000014462;ENSRNOG00000002032;ENSRNOG00000013737;ENSRNOG00000050404;ENSRNOG00000008822;ENSRNOG00000018483;ENSRNOG00000018946;ENSRNOG00000023683
HALLMARK_FATTY_ACID_METABOLISM	0.0188167313987785	0.0588022856211827	0.352487857583619	0.411697827176354	1.38522157120005	145	ENSRNOG00000045636;ENSRNOG00000016690;ENSRNOG00000002826;ENSRNOG00000024128;ENSRNOG00000003307;ENSRNOG00000009597;ENSRNOG00000008103;ENSRNOG00000006787;ENSRNOG00000004027;ENSRNOG00000016552;ENSRNOG00000005424;ENSRNOG00000047708;ENSRNOG00000010633;ENSRNOG00000014254;ENSRNOG00000019180;ENSRNOG00000019189;ENSRNOG00000002210;ENSRNOG00000016451;ENSRNOG00000017619;ENSRNOG00000049560;ENSRNOG00000032959;ENSRNOG00000012436;ENSRNOG00000019500;ENSRNOG00000033262;ENSRNOG00000009419;ENSRNOG00000022980;ENSRNOG00000016265
HALLMARK_MTORC1_SIGNALING	0.0233277923790581	0.0686111540560533	0.352487857583619	0.39392257181955	1.3691389330231	187	ENSRNOG00000016122;ENSRNOG00000009550;ENSRNOG00000020989;ENSRNOG00000011361;ENSRNOG00000016690;ENSRNOG00000020480;ENSRNOG00000007234;ENSRNOG00000006787;ENSRNOG00000016552;ENSRNOG00000009754;ENSRNOG00000007546;ENSRNOG00000055365;ENSRNOG00000002393;ENSRNOG00000006859;ENSRNOG00000016924;ENSRNOG00000031367;ENSRNOG00000007319;ENSRNOG00000005248;ENSRNOG00000020440;ENSRNOG00000016356;ENSRNOG00000012881;ENSRNOG00000004903;ENSRNOG00000034013;ENSRNOG00000002301;ENSRNOG00000026963;ENSRNOG00000000521;ENSRNOG00000014525;ENSRNOG00000020776;ENSRNOG00000001766;ENSRNOG00000018556;ENSRNOG00000017206;ENSRNOG00000010298;ENSRNOG00000056714;ENSRNOG00000057078
HALLMARK_MITOTIC_SPINDLE	0.029449187640868	0.0774978622128106	0.352487857583619	-0.335992930083592	-1.30118559511668	193	ENSRNOG00000008165;ENSRNOG00000000632;ENSRNOG00000009339;ENSRNOG00000053047;ENSRNOG00000004487;ENSRNOG00000019100;ENSRNOG00000049033;ENSRNOG00000011203;ENSRNOG00000054515;ENSRNOG00000018929;ENSRNOG00000018815;ENSRNOG00000020281;ENSRNOG00000013536;ENSRNOG00000012852;ENSRNOG00000011470;ENSRNOG00000047476;ENSRNOG00000013057;ENSRNOG00000002855;ENSRNOG00000013774;ENSRNOG00000009893;ENSRNOG00000032778;ENSRNOG00000012835;ENSRNOG00000019253;ENSRNOG00000050819;ENSRNOG00000032929;ENSRNOG00000014080;ENSRNOG00000004479;ENSRNOG00000008921;ENSRNOG00000010721;ENSRNOG00000013727;ENSRNOG00000014917;ENSRNOG00000038597;ENSRNOG00000003228;ENSRNOG00000031325;ENSRNOG00000003388;ENSRNOG00000005788;ENSRNOG00000024365;ENSRNOG00000018835;ENSRNOG00000042879;ENSRNOG00000011572;ENSRNOG00000007330;ENSRNOG00000056069;ENSRNOG00000001149;ENSRNOG00000002001;ENSRNOG00000006952
HALLMARK_NOTCH_SIGNALING	0.0288665399182781	0.0774978622128106	0.352487857583619	-0.524290032891914	-1.49820480408133	31	ENSRNOG00000059984;ENSRNOG00000014678;ENSRNOG00000020941;ENSRNOG00000001653;ENSRNOG00000018835;ENSRNOG00000002879;ENSRNOG00000004395;ENSRNOG00000020918;ENSRNOG00000001720;ENSRNOG00000003491;ENSRNOG00000058914;ENSRNOG00000051905
HALLMARK_MYC_TARGETS_V1	0.0479452054794521	0.11986301369863	0.241339976815091	0.371747102254921	1.2987562630747	194	ENSRNOG00000036839;ENSRNOG00000001148;ENSRNOG00000015642;ENSRNOG00000009963;ENSRNOG00000006949;ENSRNOG00000013479;ENSRNOG00000005424;ENSRNOG00000012457;ENSRNOG00000019453;ENSRNOG00000012558;ENSRNOG00000002393;ENSRNOG00000004616;ENSRNOG00000025936;ENSRNOG00000031367;ENSRNOG00000003763;ENSRNOG00000005736;ENSRNOG00000018816;ENSRNOG00000000248;ENSRNOG00000012999;ENSRNOG00000014179;ENSRNOG00000031965;ENSRNOG00000017724;ENSRNOG00000000490;ENSRNOG00000005890;ENSRNOG00000008639;ENSRNOG00000024186;ENSRNOG00000046799;ENSRNOG00000052620;ENSRNOG00000019007;ENSRNOG00000018704;ENSRNOG00000014525;ENSRNOG00000007088;ENSRNOG00000014616;ENSRNOG00000016137;ENSRNOG00000016459;ENSRNOG00000003890
