Geneid	SRR11025990	SRR11025989	SRR11025988	SRR11025987	SRR11025986	SRR11025985	SRR11025984	SRR11025983
ENSRNOG00000000257	895	931	793	760	537	649	513	687
ENSRNOG00000000258	853	663	939	738	588	888	475	622
ENSRNOG00000000262	163	121	247	163	88	199	94	124
ENSRNOG00000000264	3078	2074	4155	3016	2702	3247	2348	2425
ENSRNOG00000000274	0	1	4	2	0	2	3	4
ENSRNOG00000000275	15	8	18	51	10	27	8	7
ENSRNOG00000000277	1	0	4	1	0	7	1	2
ENSRNOG00000000279	757	253	1307	639	467	362	239	501
ENSRNOG00000000281	31022	25913	29404	33146	19034	31363	15183	22654
ENSRNOG00000000282	0	0	0	0	0	0	0	0
ENSRNOG00000000283	412	299	413	320	268	387	224	348
ENSRNOG00000000288	241	125	249	217	94	220	89	128
ENSRNOG00000000299	1107	536	1005	861	404	1230	454	484
ENSRNOG00000000302	1298	1077	1361	1359	870	1351	766	888
ENSRNOG00000000303	140	111	142	155	95	137	72	117
ENSRNOG00000000304	31483	20664	34784	30782	26122	40543	21314	26442
ENSRNOG00000000306	558	395	574	506	326	571	357	530
ENSRNOG00000000307	78	56	81	84	60	88	39	54
ENSRNOG00000000308	275	170	317	327	223	336	221	292
ENSRNOG00000000312	1114	792	1110	1150	819	1158	768	938
ENSRNOG00000000314	8127	5382	8575	7993	5705	8332	4441	6256
ENSRNOG00000000316	12	6	16	13	5	17	9	5
ENSRNOG00000000320	4	5	13	7	3	7	7	4
ENSRNOG00000000321	120	105	119	67	73	103	33	132
ENSRNOG00000000322	1292	978	1554	1218	858	1610	843	940
ENSRNOG00000000323	116	62	107	107	62	124	46	60
ENSRNOG00000000327	705	458	895	691	478	807	426	531
ENSRNOG00000000335	1	6	6	10	1	2	0	4
ENSRNOG00000000340	3200	2217	3945	2941	2379	3679	2124	2950
ENSRNOG00000000341	343	190	471	423	331	346	212	247
ENSRNOG00000000345	0	0	0	1	0	0	0	0
ENSRNOG00000000368	1	2	0	2	0	0	0	0
ENSRNOG00000000373	3	3	1	0	2	3	3	0
ENSRNOG00000000376	7	3	4	6	4	7	4	4
ENSRNOG00000000378	5	3	5	3	4	8	0	1
ENSRNOG00000000383	11	7	8	7	6	8	4	1
ENSRNOG00000000384	0	0	0	0	0	0	0	0
ENSRNOG00000000386	5117	3197	5120	4670	4430	5654	3177	4847
ENSRNOG00000000387	3308	2254	3575	3374	2490	3378	1863	2483
ENSRNOG00000000390	1	1	0	2	6	3	1	1
ENSRNOG00000000392	1287	1036	1303	1289	939	1449	888	946
ENSRNOG00000000394	344	201	347	314	229	347	239	289
ENSRNOG00000000395	493	382	524	437	331	533	317	320
ENSRNOG00000000396	1051	825	1102	997	727	1278	701	890
ENSRNOG00000000397	1036	771	1260	1182	749	1257	518	778
ENSRNOG00000000398	479	336	517	398	307	516	258	335
ENSRNOG00000000401	0	0	0	0	0	0	0	0
ENSRNOG00000000405	0	0	0	0	0	0	0	0
ENSRNOG00000000406	4	4	0	5	2	6	4	3
ENSRNOG00000000407	454	350	554	441	331	602	300	348
ENSRNOG00000000408	1309	1007	1368	1284	1008	1510	770	1019
ENSRNOG00000000410	17	30	26	14	2	1	0	9
ENSRNOG00000000411	2883	1866	2791	2497	1692	2794	1443	2111
ENSRNOG00000000412	0	3	0	0	1	5	0	0
ENSRNOG00000000413	6	20	10	2	7	10	1	5
ENSRNOG00000000414	410	176	561	395	277	702	203	128
ENSRNOG00000000415	571	445	696	553	345	576	325	390
ENSRNOG00000000417	3893	2890	4635	4189	2951	4383	2637	3494
ENSRNOG00000000418	118	95	110	82	88	142	102	109
ENSRNOG00000000419	39	36	37	32	33	43	32	29
ENSRNOG00000000420	498	434	614	488	406	677	455	565
ENSRNOG00000000421	3588	2364	3246	3087	2110	3541	2053	2790
ENSRNOG00000000422	485	303	463	400	331	501	258	406
ENSRNOG00000000423	16	4	47	15	10	25	4	8
ENSRNOG00000000428	33	19	45	6	6	6	18	23
ENSRNOG00000000431	2114	1222	1772	1789	1355	2026	1289	1864
ENSRNOG00000000432	400	262	367	361	265	390	314	287
ENSRNOG00000000433	77	49	48	106	42	56	35	70
ENSRNOG00000000435	1290	871	1273	1018	700	1378	693	1042
ENSRNOG00000000436	127	108	147	102	54	133	100	80
ENSRNOG00000000437	514	308	436	354	233	475	244	348
ENSRNOG00000000438	1898	1764	1777	1793	1607	2264	1398	1706
ENSRNOG00000000439	68	43	79	40	30	49	44	43
ENSRNOG00000000440	1224	930	1465	1076	824	1415	953	998
ENSRNOG00000000441	109	67	118	91	40	91	44	66
ENSRNOG00000000442	383	201	242	419	231	277	200	206
ENSRNOG00000000443	8604	7575	15427	8328	6254	7780	5432	8374
ENSRNOG00000000446	0	0	0	0	0	0	0	0
ENSRNOG00000000451	951	700	1022	882	505	945	406	908
ENSRNOG00000000454	45	54	53	37	23	65	26	51
ENSRNOG00000000455	102	91	130	107	23	108	67	86
ENSRNOG00000000456	558	401	643	378	312	566	418	370
ENSRNOG00000000457	1019	906	1591	768	491	1082	839	1024
ENSRNOG00000000459	335	357	612	238	230	509	286	333
ENSRNOG00000000461	67	40	62	146	52	72	31	47
ENSRNOG00000000463	48	22	51	40	15	41	21	12
ENSRNOG00000000464	1375	1105	1570	1210	993	1663	955	1017
ENSRNOG00000000465	4001	2859	4910	3489	2614	4395	2496	3568
ENSRNOG00000000466	1331	1012	1397	1258	953	1357	828	1059
ENSRNOG00000000467	875	689	1024	763	564	968	639	811
ENSRNOG00000000470	2741	1906	2413	2542	1551	2596	1739	2187
ENSRNOG00000000471	380	475	614	375	263	579	298	329
ENSRNOG00000000473	1018	851	1098	1007	926	1188	706	913
ENSRNOG00000000474	848	728	920	736	497	1094	599	650
ENSRNOG00000000476	601	453	670	612	472	703	454	688
ENSRNOG00000000477	1035	861	1180	986	677	1210	738	919
ENSRNOG00000000478	145	165	173	149	19	164	68	78
ENSRNOG00000000479	57	41	64	30	48	68	47	38
ENSRNOG00000000480	2202	1719	2276	2018	1458	2223	1341	1876
ENSRNOG00000000481	1495	1158	1363	1288	1035	1476	1072	1305
ENSRNOG00000000483	219	147	217	223	131	256	175	185
ENSRNOG00000000485	306	285	399	262	220	351	228	236
ENSRNOG00000000486	5	5	12	8	1	15	7	10
ENSRNOG00000000487	11	6	5	6	7	4	2	2
ENSRNOG00000000488	156	103	177	132	83	168	111	140
ENSRNOG00000000490	2378	1729	2625	2271	1451	2244	1431	1853
ENSRNOG00000000491	5	1	1	4	1	0	1	2
ENSRNOG00000000493	716	591	729	722	557	901	508	683
ENSRNOG00000000495	461	274	626	392	305	608	306	382
ENSRNOG00000000498	1024	662	1034	945	639	1025	615	752
ENSRNOG00000000499	1	1	0	0	0	1	0	0
ENSRNOG00000000500	58	95	60	32	49	26	13	32
ENSRNOG00000000501	1054	728	1149	902	580	1225	637	774
ENSRNOG00000000502	24	15	17	27	23	25	15	19
ENSRNOG00000000503	1216	727	1263	1092	722	1493	751	976
ENSRNOG00000000504	829	725	1023	773	471	1109	591	723
ENSRNOG00000000505	0	0	0	0	0	0	0	0
ENSRNOG00000000506	696	519	930	599	488	767	506	655
ENSRNOG00000000507	0	0	0	20	0	0	0	0
ENSRNOG00000000508	0	0	0	0	0	0	0	0
ENSRNOG00000000510	0	0	0	0	2	188	0	0
ENSRNOG00000000511	1049	729	1183	1035	801	1267	625	793
ENSRNOG00000000512	2056	2537	4651	2450	813	2450	1176	1797
ENSRNOG00000000513	7595	5360	7620	5694	4206	7133	3741	4564
ENSRNOG00000000515	29	20	21	23	22	20	14	20
ENSRNOG00000000516	3	0	0	1	0	0	0	1
ENSRNOG00000000517	484	366	459	414	401	586	273	378
ENSRNOG00000000519	2129	1457	2189	2177	1497	2372	1497	1574
ENSRNOG00000000520	3404	2272	3185	2782	2283	3729	2546	3127
ENSRNOG00000000521	3257	1607	2723	1916	348	2461	1496	815
ENSRNOG00000000522	0	4	15	9	6	18	1	6
ENSRNOG00000000523	265	183	231	249	171	265	149	225
ENSRNOG00000000524	5517	3323	5908	4802	4337	6105	3636	4749
ENSRNOG00000000525	26	17	28	15	16	22	16	22
ENSRNOG00000000527	2711	2034	2826	2424	1768	2895	1684	2339
ENSRNOG00000000528	231	142	211	194	131	215	109	205
ENSRNOG00000000529	209	159	147	270	113	148	65	214
ENSRNOG00000000531	152	116	130	111	105	97	78	102
ENSRNOG00000000532	3221	2599	3738	2916	2290	3250	1986	2740
ENSRNOG00000000536	8	1	8	4	3	3	4	5
ENSRNOG00000000540	435	388	606	484	410	542	294	367
ENSRNOG00000000541	2602	1926	3128	2760	2130	3133	1589	2321
ENSRNOG00000000542	6	143	25	60	44	97	62	105
ENSRNOG00000000543	1206	624	1218	1107	872	1396	710	804
ENSRNOG00000000546	1780	1089	1823	1557	1227	1732	925	1318
ENSRNOG00000000547	314	200	353	500	252	208	163	191
ENSRNOG00000000549	2234	1426	2745	2507	1986	2312	1326	1965
ENSRNOG00000000551	1188	982	1336	1047	942	1472	790	999
ENSRNOG00000000552	544	370	537	439	259	598	259	325
ENSRNOG00000000556	0	0	0	0	1	2	0	0
ENSRNOG00000000557	12096	9261	13213	11233	8769	12515	6894	9300
ENSRNOG00000000559	0	0	2	0	0	1	0	2
ENSRNOG00000000560	406	272	377	520	241	453	267	250
ENSRNOG00000000561	7189	5407	9042	7248	3967	7731	5064	5805
ENSRNOG00000000562	125	126	141	201	83	159	104	170
ENSRNOG00000000563	100	72	130	110	39	103	59	130
ENSRNOG00000000564	2	1	1	7	0	13	2	0
ENSRNOG00000000565	4720	2625	5773	4667	3143	5662	3263	4609
ENSRNOG00000000566	9395	7096	10135	8924	7639	11064	6946	8406
ENSRNOG00000000567	158	108	258	146	89	200	96	177
ENSRNOG00000000568	562	401	643	591	397	512	370	491
ENSRNOG00000000569	285	213	289	249	185	285	178	288
ENSRNOG00000000571	33781	24544	37572	33654	23853	40830	22104	27709
ENSRNOG00000000572	37	19	41	60	13	40	11	10
ENSRNOG00000000574	18	4	20	23	8	4	5	6
ENSRNOG00000000576	499	407	530	515	463	660	385	366
ENSRNOG00000000579	698	414	781	704	423	738	317	424
ENSRNOG00000000580	3	3	1	3	0	2	1	0
ENSRNOG00000000581	1137	795	1360	1181	967	1372	763	912
ENSRNOG00000000582	74	97	129	65	87	140	108	107
ENSRNOG00000000583	682	493	782	755	519	890	460	550
ENSRNOG00000000585	3286	2174	3703	3201	2841	5478	2352	2538
ENSRNOG00000000586	792	586	776	691	537	780	482	660
ENSRNOG00000000587	268	221	301	241	231	297	157	238
ENSRNOG00000000588	2914	2507	2146	3202	1768	2329	950	1684
ENSRNOG00000000589	604	471	688	513	433	804	419	416
ENSRNOG00000000590	13	9	20	8	13	4	4	9
ENSRNOG00000000593	875	582	1400	910	603	1378	607	636
ENSRNOG00000000595	1000	712	1009	939	809	982	639	860
ENSRNOG00000000596	284	205	291	241	140	318	145	185
ENSRNOG00000000597	0	0	1	7	1	2	1	0
ENSRNOG00000000598	106	82	97	88	93	131	112	93
ENSRNOG00000000599	456	261	478	475	286	552	292	280
ENSRNOG00000000604	1399	920	1703	1373	987	1470	939	1121
ENSRNOG00000000605	0	0	0	0	0	0	0	0
ENSRNOG00000000606	0	0	0	1	0	0	0	0
ENSRNOG00000000607	1	0	0	0	0	0	0	0
ENSRNOG00000000609	1479	1020	1637	1593	1272	1564	887	1367
ENSRNOG00000000610	5858	4969	6522	5625	4162	5868	3615	5297
ENSRNOG00000000611	232	184	280	260	169	288	153	222
ENSRNOG00000000613	1563	1185	1972	1555	1373	2103	1118	1429
ENSRNOG00000000614	255	177	331	255	234	317	142	229
ENSRNOG00000000618	0	0	0	0	0	0	0	0
ENSRNOG00000000620	0	0	0	0	0	0	0	1
ENSRNOG00000000622	3995	2851	4316	3958	2859	4309	2294	3452
ENSRNOG00000000630	3	2	4	1	0	3	0	0
ENSRNOG00000000632	46	30	40	24	61	92	53	27
ENSRNOG00000000633	3505	2237	3442	3713	2558	3889	2270	2464
ENSRNOG00000000634	72	84	97	70	62	83	46	29
ENSRNOG00000000635	682	334	503	650	344	690	330	352
ENSRNOG00000000636	9	2	4	7	6	18	0	2
ENSRNOG00000000638	10	11	11	11	17	8	6	14
ENSRNOG00000000639	224	125	239	201	86	224	134	152
ENSRNOG00000000640	16	5	11	7	6	8	0	3
ENSRNOG00000000641	1216	834	1355	994	571	1399	791	806
ENSRNOG00000000645	9245	5618	10627	9349	6915	10719	5120	6823
ENSRNOG00000000648	2879	1654	3860	2831	2282	3899	2062	2032
