Geneid	SRR11025990	SRR11025989	SRR11025988	SRR11025987	SRR11025986	SRR11025985	SRR11025984	SRR11025983
ENSRNOG00000014311	245	176	308	225	143	291	163	188
ENSRNOG00000014312	25	16	32	17	15	30	9	11
ENSRNOG00000014314	1197	727	1116	935	927	1266	721	780
ENSRNOG00000014316	1488	1033	1689	1428	1061	1845	947	1160
ENSRNOG00000014317	852	630	939	850	732	912	622	686
ENSRNOG00000014318	0	0	0	0	0	0	0	0
ENSRNOG00000014319	502	349	669	508	374	688	366	356
ENSRNOG00000014320	173	113	208	164	101	167	115	85
ENSRNOG00000014322	49	36	76	58	39	78	31	50
ENSRNOG00000014323	215	140	155	182	105	181	117	120
ENSRNOG00000014327	0	0	0	0	0	1	0	0
ENSRNOG00000014328	219	151	257	206	114	238	144	188
ENSRNOG00000014330	775	635	1005	744	647	848	582	625
ENSRNOG00000014331	1189	1014	1498	1233	908	1415	784	1012
ENSRNOG00000014333	431	254	465	414	191	410	168	156
ENSRNOG00000014336	35	19	42	30	29	29	24	16
ENSRNOG00000014338	18043	12017	7300	9282	4017	15202	8849	23504
ENSRNOG00000014339	0	0	1	0	0	0	1	0
ENSRNOG00000014340	1189	739	1386	1141	880	1108	664	1024
ENSRNOG00000014341	219	117	247	172	174	239	154	191
ENSRNOG00000014343	18	19	40	26	24	29	28	13
ENSRNOG00000014347	3152	2450	3494	3054	2135	3355	1883	2565
ENSRNOG00000014350	256	220	157	260	410	368	127	408
ENSRNOG00000014352	529	445	658	571	401	640	380	529
ENSRNOG00000014353	2435	1759	2524	2285	1408	2683	1442	1827
ENSRNOG00000014354	619	536	677	577	530	785	410	516
ENSRNOG00000014357	273	169	348	265	159	278	196	137
ENSRNOG00000014358	0	0	0	0	0	0	0	0
ENSRNOG00000014361	20	16	18	15	11	24	6	12
ENSRNOG00000014362	457	373	520	351	285	494	314	378
ENSRNOG00000014363	897	850	673	402	258	525	297	449
ENSRNOG00000014365	4998	2940	2474	2895	3885	3690	2405	1867
ENSRNOG00000014366	0	0	0	0	0	1	0	0
ENSRNOG00000014367	618	432	905	755	633	1439	773	740
ENSRNOG00000014368	3651	2507	4039	3435	2293	3496	1855	2670
ENSRNOG00000014369	494	378	602	525	336	489	364	447
ENSRNOG00000014370	0	0	0	0	0	0	0	0
ENSRNOG00000014371	34	29	27	19	12	17	10	14
ENSRNOG00000014372	0	0	0	0	0	0	0	2
ENSRNOG00000014373	2	0	2	1	1	3	1	1
ENSRNOG00000014375	7	2	3	8	2	3	1	5
ENSRNOG00000014376	28358	19555	30013	26135	17797	27691	17130	22448
ENSRNOG00000014378	7	4	3	3	3	2	1	3
ENSRNOG00000014380	597	377	582	595	286	518	300	428
ENSRNOG00000014382	605	431	714	499	423	632	444	446
ENSRNOG00000014383	0	0	0	0	1	0	0	0
ENSRNOG00000014385	32	26	34	29	14	45	23	9
ENSRNOG00000014386	0	0	0	0	0	0	0	0
ENSRNOG00000014387	410	748	56	186	196	197	112	989
ENSRNOG00000014395	31	17	37	33	25	49	25	11
ENSRNOG00000014398	53	52	62	91	37	92	23	32
ENSRNOG00000014399	6641	5123	7150	6155	4678	7491	4214	5439
ENSRNOG00000014405	1544	1193	1826	1372	1005	1764	915	1359
ENSRNOG00000014409	3	0	5	7	5	0	2	3
ENSRNOG00000014414	0	1	0	0	1	1	0	1
ENSRNOG00000014415	3460	2680	3543	3299	2720	3832	2423	2785
ENSRNOG00000014419	1733	1253	1854	1657	1239	2035	1101	1567
ENSRNOG00000014420	68	35	67	61	42	106	58	56
ENSRNOG00000014422	803	649	876	781	630	857	525	656
ENSRNOG00000014424	45	23	60	30	29	46	22	34
ENSRNOG00000014425	0	0	0	0	0	0	0	0
ENSRNOG00000014426	137	89	131	164	111	133	45	59
ENSRNOG00000014427	0	0	0	0	0	0	0	0
ENSRNOG00000014429	7336	5536	7833	7086	5486	7725	5506	5936
ENSRNOG00000014431	119	81	134	105	68	124	98	91
ENSRNOG00000014434	1739	1029	2316	1820	1374	2405	1187	1065
ENSRNOG00000014436	967	817	1092	978	746	1157	622	794
ENSRNOG00000014440	1677	1362	2082	1735	1378	2040	1130	1359
ENSRNOG00000014441	0	0	0	0	0	0	0	0
ENSRNOG00000014443	64	27	56	38	22	91	27	35
ENSRNOG00000014445	5289	3899	5318	5192	3863	5365	3267	4034
ENSRNOG00000014448	2774	1925	2856	2540	2192	3203	1565	2082
ENSRNOG00000014450	908	522	978	725	587	985	490	528
ENSRNOG00000014452	688	356	764	703	319	934	482	405
ENSRNOG00000014453	586	403	597	450	422	682	349	394
ENSRNOG00000014454	2412	1826	2327	2089	1372	2547	1425	1778
ENSRNOG00000014455	0	0	0	0	0	0	0	0
ENSRNOG00000014456	1301	574	1150	1291	746	1416	716	789
ENSRNOG00000014459	632	482	679	724	563	707	432	531
ENSRNOG00000014460	658	435	784	630	481	721	366	450
ENSRNOG00000014461	217	148	176	169	137	160	82	175
ENSRNOG00000014462	1263	794	1254	1042	886	1376	857	949
ENSRNOG00000014463	1312	905	1375	1335	956	1364	814	1134
ENSRNOG00000014464	64	41	76	26	37	43	16	37
ENSRNOG00000014465	96	127	345	106	128	161	157	22
ENSRNOG00000014471	0	0	0	0	0	0	1	1
ENSRNOG00000014475	4959	3445	5787	5196	3751	5356	2951	4138
ENSRNOG00000014476	196	125	180	144	105	162	107	144
ENSRNOG00000014477	37	44	75	73	51	115	58	56
ENSRNOG00000014478	2245	1362	2567	2147	1811	3007	1459	1606
ENSRNOG00000014479	449	317	564	472	236	553	291	257
ENSRNOG00000014480	1440	1020	1643	1343	733	1713	875	1085
ENSRNOG00000014481	17263	15667	22246	18302	13471	20089	12558	15747
ENSRNOG00000014482	770	516	1152	835	625	1411	544	434
ENSRNOG00000014483	1051	779	1220	1036	965	1352	734	771
ENSRNOG00000014485	1519	1037	1742	1468	1110	1767	983	1200
ENSRNOG00000014486	46	24	76	62	34	66	29	30
ENSRNOG00000014490	182	123	195	224	235	331	237	132
ENSRNOG00000014492	1	1	0	0	0	1	0	0
ENSRNOG00000014493	783	599	895	754	637	1010	575	709
ENSRNOG00000014496	122	127	128	77	60	117	63	74
ENSRNOG00000014501	2231	1526	2556	2503	1306	3034	1106	1322
ENSRNOG00000014502	0	0	0	1	0	0	0	0
ENSRNOG00000014503	0	0	0	0	0	0	1	0
ENSRNOG00000014504	6887	4217	5203	9676	6049	8140	3947	5296
ENSRNOG00000014505	0	1	0	0	1	2	0	0
ENSRNOG00000014508	3677	2107	3677	3809	1833	4138	2502	2487
ENSRNOG00000014509	841	610	1526	924	599	912	543	645
ENSRNOG00000014511	565	276	830	567	409	943	324	236
ENSRNOG00000014513	67	37	101	74	65	81	29	45
ENSRNOG00000014515	172	118	191	163	100	236	100	123
ENSRNOG00000014516	1402	897	1439	1271	883	1614	811	963
ENSRNOG00000014518	0	0	0	0	3	0	0	0
ENSRNOG00000014519	12	9	15	9	9	25	7	12
ENSRNOG00000014520	824	638	1077	862	644	1138	588	760
ENSRNOG00000014521	866	677	993	850	539	834	466	702
ENSRNOG00000014522	6511	4990	8629	6215	3961	7280	4151	5375
ENSRNOG00000014524	338	159	393	429	187	476	288	223
ENSRNOG00000014525	19169	15540	20122	21193	13350	20500	11000	15406
ENSRNOG00000014526	1353	904	1419	1154	885	1476	1038	1173
ENSRNOG00000014527	0	0	0	0	0	0	0	0
ENSRNOG00000014528	213	163	356	208	197	336	183	236
ENSRNOG00000014529	439	285	580	419	269	505	267	348
ENSRNOG00000014530	3746	2123	3130	2649	2070	3152	2774	2893
ENSRNOG00000014531	1653	1471	2186	1627	1379	1908	1100	1427
ENSRNOG00000014532	8892	5730	7702	8660	6175	7841	6314	6765
ENSRNOG00000014534	3	2	8	3	3	3	0	3
ENSRNOG00000014538	0	3	2	3	0	1	1	0
ENSRNOG00000014543	1885	1211	1895	1826	1274	2196	1129	1371
ENSRNOG00000014548	781	358	599	673	477	754	345	611
ENSRNOG00000014549	2297	1813	1975	1455	995	1574	786	872
ENSRNOG00000014550	0	0	0	0	0	0	0	0
ENSRNOG00000014551	1	0	0	0	0	0	0	0
ENSRNOG00000014552	92	64	86	102	59	99	53	71
ENSRNOG00000014555	6	0	0	4	4	0	3	4
ENSRNOG00000014556	7	6	5	5	5	8	13	4
ENSRNOG00000014562	4013	2997	4545	4382	3279	4846	2753	3277
ENSRNOG00000014564	2067	1381	2288	1876	1571	2328	1247	1840
ENSRNOG00000014565	545	316	516	421	374	551	344	429
ENSRNOG00000014568	2343	1653	2016	2158	1454	2190	1324	2129
ENSRNOG00000014571	251	156	250	211	144	293	136	201
ENSRNOG00000014573	2	6	2	3	0	4	1	0
ENSRNOG00000014574	0	0	4	0	0	0	2	0
ENSRNOG00000014575	469	372	538	517	373	590	382	408
ENSRNOG00000014576	666	440	1072	675	388	675	284	455
ENSRNOG00000014578	0	2	1	0	0	2	0	0
ENSRNOG00000014581	303	196	267	262	192	328	189	240
ENSRNOG00000014582	1194	910	1184	1153	923	1452	853	1108
ENSRNOG00000014584	685	535	774	733	481	871	459	568
ENSRNOG00000014585	53	23	52	38	28	38	32	25
ENSRNOG00000014588	552	344	621	525	403	568	336	409
ENSRNOG00000014589	451	334	576	479	328	507	325	490
ENSRNOG00000014590	0	0	0	0	0	1	0	0
ENSRNOG00000014592	196	156	283	201	164	265	156	215
ENSRNOG00000014595	999	790	898	868	656	1000	704	1023
ENSRNOG00000014597	1457	1000	1566	1562	1314	2741	1022	1033
ENSRNOG00000014598	2054	1229	2469	1865	1356	2483	1175	1434
ENSRNOG00000014599	1999	1331	2414	1937	1516	2018	1096	1299
ENSRNOG00000014600	0	0	0	0	0	0	0	1
ENSRNOG00000014602	533	453	654	534	409	621	364	483
ENSRNOG00000014603	0	4	1	0	0	0	0	0
ENSRNOG00000014604	8933	6950	11092	7546	6336	10692	6260	8165
ENSRNOG00000014605	809	583	712	876	670	851	360	535
ENSRNOG00000014610	10311	6800	11175	10448	6769	10169	6421	8233
ENSRNOG00000014613	9362	5199	10172	10052	9232	10132	5938	10162
ENSRNOG00000014614	1687	1141	1670	1412	1019	1627	1072	1227
ENSRNOG00000014615	1415	1076	1524	1369	999	1551	826	1330
ENSRNOG00000014616	1210	998	1434	1252	837	1429	631	967
ENSRNOG00000014617	15714	11330	19273	16132	11934	17887	8678	12989
ENSRNOG00000014618	252	199	270	253	230	330	190	240
ENSRNOG00000014619	1527	1131	1491	1450	1059	1705	974	1319
ENSRNOG00000014621	2308	1771	2356	2014	1529	2497	1590	1909
ENSRNOG00000014623	2540	1604	2890	2572	1918	3367	1776	1876
ENSRNOG00000014624	1088	777	1044	1035	917	1186	755	954
ENSRNOG00000014625	6855	5583	6531	6512	4101	6457	3906	5268
ENSRNOG00000014626	274	222	310	212	178	303	219	268
ENSRNOG00000014628	1192	741	1220	1028	750	1047	715	903
ENSRNOG00000014629	1	0	0	2	0	3	1	2
ENSRNOG00000014630	535	269	549	473	359	670	291	340
ENSRNOG00000014633	1917	1369	1826	1722	1232	1909	1158	1555
ENSRNOG00000014634	1062	850	1227	1099	699	1115	594	900
ENSRNOG00000014635	4530	3027	4884	3875	2786	4618	2765	3767
ENSRNOG00000014637	2688	1958	2623	2013	1665	2536	1220	2112
ENSRNOG00000014641	10	12	11	11	9	15	4	7
ENSRNOG00000014642	60	56	74	50	39	74	37	58
ENSRNOG00000014644	0	0	0	0	0	0	0	0
ENSRNOG00000014645	18810	14182	19513	22218	15022	20576	13734	17967
ENSRNOG00000014647	1503	1028	1784	1679	1199	1870	799	1101
ENSRNOG00000014648	492	389	554	462	379	665	382	311
ENSRNOG00000014650	18377	12769	15966	17188	12184	17907	9838	15779
ENSRNOG00000014652	6256	4179	7731	5824	4899	7707	5109	5672
ENSRNOG00000014653	85	55	69	73	60	105	63	84
ENSRNOG00000014654	1507	1104	1349	1534	1002	1476	795	1119
ENSRNOG00000014656	0	3	3	0	1	3	0	0
ENSRNOG00000014658	46	28	41	49	32	91	33	42
ENSRNOG00000014659	1246	831	1375	1347	928	1524	955	949
ENSRNOG00000014660	487	294	507	542	407	647	253	363
ENSRNOG00000014661	16	6	9	10	5	3	3	1
ENSRNOG00000014664	1432	982	1653	1341	1090	1708	891	1092
ENSRNOG00000014665	6180	4509	6490	7604	3675	5692	3083	3499
ENSRNOG00000014666	431	352	553	553	308	566	314	373
ENSRNOG00000014668	1313	945	1211	1538	924	1588	645	949
ENSRNOG00000014670	2607	1964	2993	2522	1949	2866	1612	1986
ENSRNOG00000014671	5	4	8	2	5	9	4	6
ENSRNOG00000014672	2	2	12	5	7	2	6	5
ENSRNOG00000014673	1874	985	1472	1758	1371	1447	725	1049
ENSRNOG00000014674	887	654	948	865	803	1019	540	703
ENSRNOG00000014675	1294	843	1497	1214	777	1154	654	1147
ENSRNOG00000014678	227	155	185	166	133	338	159	225
ENSRNOG00000014683	22	26	27	32	6	13	13	24
ENSRNOG00000014684	1100	637	1064	826	616	1212	592	816
ENSRNOG00000014685	0	0	0	0	0	0	0	0
ENSRNOG00000014686	22	13	38	33	15	53	20	15
ENSRNOG00000014689	916	563	980	960	534	1102	600	774
ENSRNOG00000014690	2682	1870	2808	2286	1613	2647	1630	2243
ENSRNOG00000014691	90	67	51	64	41	69	40	30
ENSRNOG00000014692	5	1	4	2	2	5	3	0
ENSRNOG00000014693	1196	792	1347	1053	753	1262	786	1066
ENSRNOG00000014698	178	50	83	176	57	158	46	137
ENSRNOG00000014700	7169	5702	6459	6837	4653	7028	3995	6868
ENSRNOG00000014702	7551	5077	8660	6709	5309	6155	3903	6340
ENSRNOG00000014703	27	26	45	21	44	48	33	29
ENSRNOG00000014705	10	2	2	6	3	9	1	20
ENSRNOG00000014706	0	0	0	0	0	0	0	0
ENSRNOG00000014710	0	1	1	0	1	0	1	0
ENSRNOG00000014711	27	13	48	55	37	64	40	41
ENSRNOG00000014712	119	94	128	145	123	205	46	56
ENSRNOG00000014713	257	129	218	184	161	220	111	171
ENSRNOG00000014714	33	17	63	38	42	60	49	61
ENSRNOG00000014718	432	239	587	412	441	450	299	310
ENSRNOG00000014719	1605	1099	1927	1543	1163	1751	1046	1231
ENSRNOG00000014720	605	410	625	551	394	544	367	494
ENSRNOG00000014721	1	1	1	5	0	1	0	0
ENSRNOG00000014722	1278	921	1700	1505	1129	2489	1030	1280
ENSRNOG00000014723	71	47	36	47	30	76	32	39
ENSRNOG00000014726	13	1	17	6	3	9	6	18
ENSRNOG00000014727	2944	2298	3124	3466	3130	3498	2394	2291
ENSRNOG00000014739	1496	1033	1816	1753	1258	1966	1181	1875
ENSRNOG00000014740	0	0	0	0	0	0	0	0
ENSRNOG00000014741	0	0	0	0	0	0	0	0
ENSRNOG00000014742	62	45	96	62	44	111	49	56
ENSRNOG00000014743	8205	6780	8271	8716	6981	9807	6221	7779
ENSRNOG00000014744	1309	942	1412	1235	779	1374	834	1064
ENSRNOG00000014745	267	200	268	245	176	261	140	185
ENSRNOG00000014746	67	39	45	51	31	54	22	44
ENSRNOG00000014750	934	528	1305	743	539	1230	508	450
ENSRNOG00000014751	5	3	9	9	2	4	0	1
ENSRNOG00000014753	1316	917	1772	1216	652	1337	841	1005
ENSRNOG00000014758	0	4	0	2	0	0	2	1
ENSRNOG00000014761	12	11	31	3	3	4	7	12
ENSRNOG00000014762	429	353	443	353	342	489	325	376
ENSRNOG00000014765	5277	3429	5956	4652	3632	6191	3051	3916
ENSRNOG00000014766	2534	1993	2954	2282	2036	3002	1608	2854
ENSRNOG00000014768	41	21	21	32	14	23	13	15
ENSRNOG00000014771	0	0	0	0	0	0	0	0
ENSRNOG00000014775	0	0	0	0	0	0	0	0
ENSRNOG00000014776	104	70	108	86	69	139	50	89
ENSRNOG00000014777	779	583	827	679	629	835	480	635
ENSRNOG00000014779	1538	1039	1817	1527	1076	1740	715	1400
ENSRNOG00000014783	243	159	234	195	189	286	138	206
ENSRNOG00000014785	880	610	1011	913	610	1073	552	669
ENSRNOG00000014786	26	19	49	32	19	43	26	41
ENSRNOG00000014787	0	0	1	2	0	1	0	13
ENSRNOG00000014790	0	0	0	0	0	0	0	0
ENSRNOG00000014791	2495	1483	2366	2294	1776	3099	1373	1507
ENSRNOG00000014793	0	4	4	2	1	9	0	0
ENSRNOG00000014794	0	0	0	0	0	0	0	0
ENSRNOG00000014795	161	83	136	133	86	143	71	86
ENSRNOG00000014797	157	99	184	181	95	203	80	122
ENSRNOG00000014798	106	58	117	68	62	87	92	77
ENSRNOG00000014801	96	84	108	77	74	103	74	89
ENSRNOG00000014805	533	370	486	455	341	568	341	422
ENSRNOG00000014806	12813	8541	12108	13327	8110	15100	9428	11565
ENSRNOG00000014807	0	0	0	0	0	0	0	0
ENSRNOG00000014808	406	299	456	451	278	443	234	299
ENSRNOG00000014811	3133	2303	3504	2898	1921	3430	2077	2547
ENSRNOG00000014815	0	0	0	0	0	0	0	0
ENSRNOG00000014816	2	1	3	3	4	3	0	4
ENSRNOG00000014819	23	19	21	18	6	14	7	12
ENSRNOG00000014828	428	284	440	376	344	486	302	394
ENSRNOG00000014829	331	234	467	315	232	450	215	230
ENSRNOG00000014831	0	0	0	0	0	0	0	0
ENSRNOG00000014832	368	339	571	246	198	350	275	238
ENSRNOG00000014833	453	413	571	548	473	603	294	449
ENSRNOG00000014834	835	648	1051	777	632	1019	643	620
ENSRNOG00000014835	18	6	19	18	10	20	12	18
ENSRNOG00000014836	1714	1193	1867	1602	1282	2024	930	1201
ENSRNOG00000014837	39	42	25	46	32	55	32	57
ENSRNOG00000014838	7	2	11	7	14	6	2	6
ENSRNOG00000014840	97	42	88	76	79	139	55	50
ENSRNOG00000014844	1433	1015	1641	1457	942	1539	688	741
ENSRNOG00000014845	0	2	0	0	0	0	0	0
ENSRNOG00000014846	820	661	955	899	651	796	633	614
ENSRNOG00000014847	18	10	14	12	4	7	7	12
ENSRNOG00000014850	42	20	45	27	15	33	22	42
ENSRNOG00000014851	1373	752	1484	1297	842	1862	787	753
ENSRNOG00000014852	364	213	369	292	220	410	211	228
ENSRNOG00000014856	4682	3014	5169	4524	3522	5523	2914	3079
ENSRNOG00000014857	289	227	283	260	226	328	191	253
ENSRNOG00000014859	735	423	793	785	572	1193	621	388
ENSRNOG00000014861	0	0	0	0	0	0	0	0
ENSRNOG00000014862	0	0	1	0	0	0	0	0
ENSRNOG00000014863	180	111	247	196	136	259	110	114
ENSRNOG00000014865	23	20	15	22	14	27	20	9
ENSRNOG00000014866	3088	1687	3952	3342	2876	4922	1954	1934
ENSRNOG00000014867	91	65	52	66	40	86	24	41
ENSRNOG00000014869	61	41	60	49	33	67	62	58
ENSRNOG00000014870	225	79	141	232	191	292	82	219
ENSRNOG00000014871	0	0	2	0	0	0	0	0
ENSRNOG00000014872	4704	2659	4703	4812	2827	5306	2133	2907
ENSRNOG00000014874	0	1	4	3	0	8	0	3
ENSRNOG00000014875	1074	876	1220	1074	906	1263	739	894
ENSRNOG00000014876	4818	2519	3467	8572	2930	4269	1771	1800
ENSRNOG00000014879	4104	2428	3785	3321	2641	4300	2444	3645
ENSRNOG00000014882	141	53	103	193	60	173	79	130
ENSRNOG00000014886	4088	2570	4292	3650	2966	5204	2940	3034
ENSRNOG00000014887	380	294	466	345	248	303	188	335
ENSRNOG00000014890	1700	1367	2053	1696	1095	1973	1131	1715
ENSRNOG00000014891	85	46	177	47	50	222	41	36
ENSRNOG00000014893	4	2	7	2	0	2	1	1
ENSRNOG00000014896	11	11	8	5	8	11	3	5
ENSRNOG00000014898	3	2	2	4	2	3	1	3
ENSRNOG00000014899	1	1	1	1	2	3	2	0
ENSRNOG00000014900	2294	1286	2178	1842	1895	2084	1371	1936
ENSRNOG00000014901	6215	3262	5935	5836	5016	5971	3245	4092
ENSRNOG00000014902	12	11	12	9	7	11	7	9
ENSRNOG00000014903	867	662	1014	735	557	954	579	713
ENSRNOG00000014904	33	19	55	52	9	39	17	21
ENSRNOG00000014907	24926	19012	26809	24788	19107	27357	15720	21371
ENSRNOG00000014908	870	725	966	840	612	989	619	838
ENSRNOG00000014909	5	7	7	8	3	9	3	3
ENSRNOG00000014915	3853	2938	4455	4113	3754	5185	2644	3361
ENSRNOG00000014916	2003	1181	2232	1858	1284	2275	1050	1224
ENSRNOG00000014917	987	713	1069	897	854	1291	648	713
ENSRNOG00000014918	107	82	127	96	63	178	66	25
ENSRNOG00000014923	2	2	2	1	2	1	5	3
ENSRNOG00000014925	4	5	11	13	4	11	5	10
ENSRNOG00000014928	39	22	39	40	30	49	22	38
ENSRNOG00000014933	1035	848	1173	915	786	1022	700	881
ENSRNOG00000014935	2511	1523	3279	1909	1394	2731	1643	2260
ENSRNOG00000014936	299	192	328	305	220	360	180	186
ENSRNOG00000014937	96	58	74	88	56	91	58	50
ENSRNOG00000014940	1	2	0	2	1	0	0	5
ENSRNOG00000014945	1109	695	1317	1023	764	1205	650	684
ENSRNOG00000014946	3296	2162	4138	3016	2441	2952	1901	3035
ENSRNOG00000014948	4305	3367	7573	6310	16114	9085	2847	9955
ENSRNOG00000014950	0	0	0	0	0	0	0	0
ENSRNOG00000014951	0	0	0	0	0	0	0	0
ENSRNOG00000014953	5	4	3	2	12	15	3	9
ENSRNOG00000014956	787	724	836	816	500	940	640	732
ENSRNOG00000014960	12	8	14	12	15	26	21	7
ENSRNOG00000014961	6	7	12	17	5	5	1	8
ENSRNOG00000014963	120	94	112	67	51	93	48	80
ENSRNOG00000014964	493591	352901	465199	509223	348113	473506	268091	458922
ENSRNOG00000014965	0	0	1	0	1	0	0	0
ENSRNOG00000014966	2515	2319	3540	2449	2310	3831	2342	2231
ENSRNOG00000014969	452	299	443	508	330	420	254	437
ENSRNOG00000014970	3	5	7	3	5	12	10	6
ENSRNOG00000014971	1	4	6	2	0	2	3	3
ENSRNOG00000014973	1	2	7	2	1	2	2	0
ENSRNOG00000014975	0	1	0	0	0	2	1	1
ENSRNOG00000014979	2	0	3	0	0	1	1	0
ENSRNOG00000014980	1047	742	1223	1080	778	1356	593	803
ENSRNOG00000014981	1613	1081	1634	1574	1150	1862	868	1242
ENSRNOG00000014982	0	0	0	0	0	0	0	1
ENSRNOG00000014984	494	373	504	487	264	576	251	387
ENSRNOG00000014986	4008	2809	4318	4365	2809	3931	2237	2886
ENSRNOG00000014987	39	26	31	24	18	51	33	18
ENSRNOG00000014988	0	0	0	0	0	0	0	0
ENSRNOG00000014992	308	396	360	281	272	419	258	289
ENSRNOG00000014996	432	280	446	365	273	501	289	331
ENSRNOG00000014997	4477	3101	5201	4887	3372	5115	2841	3587
ENSRNOG00000014999	3096	2115	4072	3054	2342	4387	2080	2226
ENSRNOG00000015002	2159	1596	2690	1966	1312	2342	1159	1994
ENSRNOG00000015003	2248	2658	4165	3113	1915	3201	2214	2879
ENSRNOG00000015004	4	4	12	6	1	5	4	2
ENSRNOG00000015005	0	0	0	0	0	0	0	0
ENSRNOG00000015008	0	0	0	0	0	0	0	0
ENSRNOG00000015018	20876	12234	18422	19947	15288	20361	11345	18723
ENSRNOG00000015019	2540	2518	3308	2218	2208	3537	1889	2936
ENSRNOG00000015020	16906	11042	18878	15906	14375	20481	10326	15121
ENSRNOG00000015021	1751	1438	1949	1396	1342	2059	1194	1467
ENSRNOG00000015024	15	11	28	22	11	16	5	19
ENSRNOG00000015026	2775	1873	3050	2782	1922	2963	1639	2128
ENSRNOG00000015027	18	13	30	27	14	13	21	7
ENSRNOG00000015029	8441	5262	6621	8481	5039	8423	3579	5516
ENSRNOG00000015030	1767	1242	1871	1578	1425	1859	1139	1778
ENSRNOG00000015033	3357	2324	3485	3246	2303	4528	2336	2541
ENSRNOG00000015035	626	289	463	456	475	687	355	533
ENSRNOG00000015036	406	258	507	425	211	372	282	136
ENSRNOG00000015042	3	0	1	0	2	0	0	0
ENSRNOG00000015049	13	24	33	18	9	17	17	14
ENSRNOG00000015051	1	3	3	1	1	0	0	2
ENSRNOG00000015052	29	51	32	26	21	32	12	16
ENSRNOG00000015054	4081	2995	4908	3146	2878	4401	2854	3777
ENSRNOG00000015055	1	0	0	4	0	0	0	0
ENSRNOG00000015057	124	179	184	134	112	171	90	199
ENSRNOG00000015058	0	0	0	1	0	2	0	0
ENSRNOG00000015059	8772	5571	8323	8540	5531	8918	4270	6718
ENSRNOG00000015061	3992	4820	6373	2682	2571	6818	3801	3676
ENSRNOG00000015063	387	311	449	319	280	432	289	352
ENSRNOG00000015067	2	1	2	0	0	2	1	1
ENSRNOG00000015068	2171	1573	2328	1743	1414	2496	1599	1915
ENSRNOG00000015071	2	6	4	6	1	4	5	4
ENSRNOG00000015072	1281	992	3232	1211	950	2024	1473	1283
ENSRNOG00000015075	29	7	16	24	54	21	11	13
ENSRNOG00000015076	109	46	159	129	64	61	30	48
ENSRNOG00000015077	940	749	871	815	545	900	567	747
ENSRNOG00000015078	1974	985	1539	1024	805	1368	677	2797
ENSRNOG00000015079	5162	3215	5071	4254	3282	4788	2876	4059
ENSRNOG00000015080	670	448	827	687	463	876	520	521
ENSRNOG00000015082	3	7	3	1	1	9	1	5
ENSRNOG00000015084	15	7	34	8	13	16	23	30
ENSRNOG00000015085	540	418	603	463	350	610	375	573
ENSRNOG00000015086	2	0	1	0	1	0	1	3
ENSRNOG00000015088	29	34	38	39	36	57	32	32
ENSRNOG00000015089	10	7	20	12	7	9	7	12
ENSRNOG00000015090	1475	1089	1413	1306	1056	1507	942	1488
ENSRNOG00000015093	684	741	726	799	644	1214	320	550
ENSRNOG00000015095	2160	1528	2308	2079	1570	2299	1184	1651
ENSRNOG00000015097	2463	1689	2666	2365	1993	2792	1459	1966
ENSRNOG00000015101	0	2	2	7	1	1	4	2
ENSRNOG00000015105	170	85	253	172	167	189	151	259
ENSRNOG00000015109	625	510	619	580	439	542	354	482
ENSRNOG00000015113	552	647	432	788	586	976	552	1258
ENSRNOG00000015117	88	62	106	77	51	76	26	61
ENSRNOG00000015118	3973	3011	3966	3932	2856	4217	2260	3161
ENSRNOG00000015121	1002	659	1085	938	818	1257	637	803
ENSRNOG00000015122	634	511	726	666	571	899	450	516
ENSRNOG00000015124	10513	7942	10114	10850	7305	12966	6092	6586
ENSRNOG00000015125	1	1	2	0	5	3	0	4
ENSRNOG00000015128	963	581	1008	829	688	945	638	606
ENSRNOG00000015131	25	11	18	17	19	27	18	16
ENSRNOG00000015133	1229	785	1730	1277	994	1934	878	723
ENSRNOG00000015134	925	641	1082	982	666	878	485	688
ENSRNOG00000015137	7	3	1	5	7	7	3	2
ENSRNOG00000015139	55195	39146	61941	48729	30349	50724	31354	39102
ENSRNOG00000015140	252	151	297	276	180	317	149	157
ENSRNOG00000015142	653	487	546	587	448	585	386	435
ENSRNOG00000015143	407	324	518	378	341	442	258	359
ENSRNOG00000015144	1201	898	1272	1137	815	1111	737	920
ENSRNOG00000015145	1608	1056	1767	1563	1168	1932	874	1257
ENSRNOG00000015148	18	33	8	72	9	34	24	11
ENSRNOG00000015149	368	259	177	631	243	152	228	122
ENSRNOG00000015150	1218	1027	1340	1138	1010	1382	865	838
ENSRNOG00000015152	596	495	671	628	542	749	487	591
ENSRNOG00000015153	1311	996	1491	1340	760	1480	818	909
ENSRNOG00000015155	18	14	19	8	10	18	10	4
ENSRNOG00000015156	0	0	0	0	0	2	0	0
ENSRNOG00000015157	99	63	109	122	66	134	66	95
ENSRNOG00000015158	1270	723	1794	1375	1019	1893	880	812
ENSRNOG00000015159	0	0	0	0	0	0	0	0
ENSRNOG00000015160	49	34	43	66	36	47	28	90
ENSRNOG00000015161	768	514	847	756	472	805	456	604
ENSRNOG00000015162	17130	14033	24920	18501	13740	21488	15020	16409
ENSRNOG00000015168	12	3	11	2	7	12	10	7
ENSRNOG00000015173	3786	2699	3886	3527	2589	4073	2195	3021
