category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0002124	1	0.991158472939776	0	1	territorial aggressive behavior	BP	1	1
GO:0002125	1	0.980839534356885	0	4	maternal aggressive behavior	BP	1	1
GO:0002128	1	0.993550031558402	0	1	tRNA nucleoside ribose methylation	BP	1	1
GO:0002133	1	0.982394468268551	0	2	polycystin complex	CC	1	1
GO:0002134	1	0.974754068603558	0	3	UTP binding	MF	1	1
GO:0002135	1	0.983080577260675	0	2	CTP binding	MF	1	1
GO:0002139	1	0.941056742995645	0	7	stereocilia coupling link	CC	1	1
GO:0002140	1	0.983577192503256	0	2	stereocilia tip link	CC	1	1
GO:0002141	1	0.949455013795288	0	6	stereocilia ankle link	CC	1	1
GO:0002142	1	0.949455013795288	0	6	stereocilia ankle link complex	CC	1	1
GO:0002143	1	0.971664975765595	0	4	tRNA wobble position uridine thiolation	BP	1	1
GO:0002144	1	0.99215771931459	0	1	cytosolic tRNA wobble base thiouridylase complex	CC	1	1
GO:0002148	1	0.991322280796434	0	1	hypochlorous acid metabolic process	BP	1	1
GO:0002149	1	0.991322280796434	0	1	hypochlorous acid biosynthetic process	BP	1	1
GO:0002151	1	0.95105344263187	0	6	G-quadruplex RNA binding	MF	1	1
GO:0002152	1	0.993413031958776	0	1	bile acid conjugation	BP	1	1
GO:0002153	1	0.979841364354777	0	3	steroid receptor RNA activator RNA binding	MF	1	1
GO:0002154	1	0.939857131669965	0	8	thyroid hormone mediated signaling pathway	BP	1	1
GO:0002155	1	0.94824478844522	0	7	regulation of thyroid hormone mediated signaling pathway	BP	1	1
GO:0002157	1	0.975328649369515	0	3	positive regulation of thyroid hormone mediated signaling pathway	BP	1	1
GO:0002158	1	0.933139474623153	0	10	osteoclast proliferation	BP	1	1
GO:0002159	1	0.966004641354782	0	4	desmosome assembly	BP	1	1
GO:0002161	1	0.901930788737184	0	13	aminoacyl-tRNA editing activity	MF	1	1
GO:0002169	1	0.984059636455848	0	2	3-methylcrotonyl-CoA carboxylase complex, mitochondrial	CC	1	1
GO:0002174	1	0.997425873059795	0	1	mammary stem cell proliferation	BP	1	1
